Grupos;Control;Control;Control;Control;Control;Chronic;Chronic;Chronic;Chronic;Chronic;Binge;Binge;Binge;Binge;Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Median
uncultured;0.03479436459370998;0.010757717492984096;0.010700496414782129;0.013967995660428533;0.016944463655854485;0.01592356687898089;0.011140350877192983;0.028000755500991598;0.011664772387390084;0.011702232274559935;0.009797854785478548;0.014703653175685918;0.014352047277332206;0.03230760480063705;0.0;0.0;0.0276088906608193;0.0;0.0;0.005221153128962481;0.011439516338939497
Clostridia_vadinBB60_group;0.007755799060765619;0.004944540959508218;0.030557087699944842;0.011843413796220956;0.012725638010927453;0.0;0.04447368421052632;0.0020776277268863916;0.018304719746365977;0.009342118202379781;0.0034034653465346535;0.031756859178414434;0.015135982632816741;0.021557363062396903;0.031014531754574814;0.02129115656604061;0.0059802651250872125;0.0;0.0041981528127623844;0.00887596031923622;0.010132336050376063
UCG-009;0.014871211043119397;0.015969530936790054;0.010590182018753447;0.006735376548232528;0.017981879798049657;0.011586935899173331;0.006798245614035088;0.017565398054584947;0.013878088173715383;0.007178680302881306;0.0;0.0062149461876610575;0.012723873846710487;0.006199874864910983;0.014397201291711518;0.011253897042050034;0.0069769759792684145;0.007147498375568552;0.006063998507323445;0.0;0.01011350469383136
Gastranaerophilales;0.01259427920876619;0.0036749966590939463;0.022448979591836733;0.015504927221770184;0.005532886091707588;0.016194606315218865;0.026754385964912284;0.010293701010482577;0.004725728300532393;0.008063723079948864;0.0;0.015234197362437472;0.017186275101007054;0.013480461862237642;0.010427879440258343;0.010569538438141587;0.003986843416724809;0.0077972709551656924;0.004851198805858755;0.007533378086074439;0.009985209953936145
Ruminococcaceae;0.01095773445282482;0.00968862755579313;0.02333149476006619;0.020115721905795136;0.0;0.0;0.0;0.00859382377939371;0.016390500687922478;0.00953879437506146;0.0;0.018872214643019556;0.0095278297051197;0.01859962459473295;0.02139397201291712;0.0;0.006677962723014054;0.01445743989603639;0.0;0.011113597374505855;0.008376691076334219
Butyricicoccus;0.012096200370001423;0.011359080582654016;0.0059018201875344735;0.014872073049453031;0.012241510477903039;0.0071147852012467825;0.0;0.01737652280668618;0.011126398277202848;0.007375356475562985;0.010004125412541254;0.011065635895103836;0.011939938491225955;0.009897047949490928;0.05005382131324004;0.006083187590297316;0.008571713345958338;0.007391163092917479;0.0;0.0;0.00792450588937368
UCG-010;0.012451970969119113;0.015234531604971268;0.006508549365692223;0.009176385498598678;0.025658759250293938;0.009689659845507523;0.005087719298245614;0.006327320804608556;0.01986002273135132;0.004720228144360311;0.006497524752475247;0.009322419281491587;0.01296508472532111;0.002957738467663955;0.0034983853606027995;0.007223785263478062;0.00468454101465165;0.004061078622482132;0.0;0.005817856343701052;0.007520700637232478
Mucispirillum;0.0;0.0347454229587064;0.0;0.022827954072868636;0.0;0.0;0.018464912280701757;0.019359712909623194;0.03804510378656458;0.02527288818959583;0.0;0.047142640594209494;0.01760839413857565;0.014163016893237018;0.0;0.0;0.00907006877304894;0.036224821312540616;0.0;0.016334750503468335;0.007494129507012321
UBA1819;0.0035577059911768892;0.012628624883068287;0.0;0.013922791790977307;0.007884362680683312;0.0;0.0;0.010907545566153556;0.0036489800801579233;0.00501524240338283;0.005259900990099009;0.0;0.0015678707109690645;0.002616460952164268;0.010091496232508074;0.005474868831267585;0.0098674374563939;0.020224171539961016;0.005317660229499021;0.01141194898187514;0.006601661698004716
Eubacterium_coprostanoligenes_group;0.004340401309235805;0.0;0.0009928295642581356;0.011029744146098907;0.004357147797219726;0.012129014771649276;0.0011842105263157896;0.0020304089149117007;0.0;0.007080342216540466;0.01021039603960396;0.002652720933757769;0.0016884761502743773;0.0;0.003363832077502691;0.0;0.0;0.0;0.005317660229499021;0.00827925710449765;0.0059421320295410295
Enterorhabdus;0.006688487263412552;0.012962715488440463;0.005129619415333701;0.004475183075671278;0.011688221868732277;0.0079279035099607;0.0009210526315789476;0.003635848522051185;0.0;0.008555413511653063;0.013098184818481847;0.0053812338941943315;0.003859374057770006;0.0;0.0032965554359526378;0.002661394570755076;0.0;0.0;0.0;0.0;0.005182870961205508
Anaeroplasma;0.0212750818272378;0.002806361085126286;0.03524544953116381;0.010216074495976855;0.0;0.04729638162352623;0.021885964912280703;0.0;0.01298079799006999;0.003933523453633592;0.012685643564356437;0.003259057147188116;0.0;0.0;0.021864908503767495;0.0022811953463614935;0.0;0.0;0.002239014833473272;0.0;0.004253118021503973
Lachnospiraceae_FCS020_group;0.003913476590294578;0.009822263797942;0.052454495311638163;0.008859958412440106;0.0;0.0079279035099607;0.008640350877192983;0.008074416847672112;0.00400789615361608;0.0;0.0;0.007351826587842959;0.006392088283181572;0.014163016893237018;0.0;0.0;0.007973686833449617;0.010721247563352828;0.0;0.0;0.0026273676216060082
Candidatus_Arthromitus;0.015938522840472466;0.012227716156621675;0.006894649751792609;0.009492812584757255;0.012656476934781107;0.0023038352080227676;0.0;0.0007555009915950515;0.003708799425734283;0.0;0.009179042904290429;0.030923146884947704;0.006693601881444852;0.0038678118423297876;0.01547362755651238;0.003193673484906091;0.0;0.0;0.0;0.002237637055269635;0.0021075380001669497
Colidextribacter;0.0;0.0;0.013678985107556536;0.0;0.01756691334117159;0.0011519176040113838;0.0;0.0;0.014416462283902615;0.0;0.00010313531353135314;0.0;0.0;0.020476650929981226;0.028458019375672768;0.011177857197171317;0.0;0.0;0.015113350125944586;0.0;0.0
Marvinbryantia;0.0;0.0;0.0;0.002576620558719826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006054897739504845;0.0;0.0;0.0;0.0;0.0;0.0
Acetatifactor;0.0;0.008619537618602164;0.0075565361279647;0.005514872073049453;0.012241510477903039;0.003252473234855672;0.0;0.004769100009443763;0.012801339953340913;0.0;0.0;0.010459299681673489;0.0;0.015812524884818838;0.0;0.0;0.0;0.0;0.0;0.0;0.0
uncultured;0.009819268535648214;0.0;0.0;0.005469668203598228;0.0;0.0;0.0;0.004721881197469072;0.0;0.0;0.0;0.0;0.0;0.0030714976394971842;0.0;0.0;0.017043755606498557;0.0;0.0;0.0;0.0
Intestinimonas;0.0;0.0;0.007335907335907336;0.005876503028659253;0.007676879452244278;0.006369426751592358;0.0;0.00524128812919067;0.004306992881497877;0.0;0.004744224422442244;0.009170835228134;0.0;0.004550366873329162;0.001547362755651238;0.0;0.0;0.0;0.0;0.0;0.0
Lachnospiraceae_NK4B4_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007602228727925206;0.005503379793025065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Eubacterium_xylanophilum_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004725728300532393;0.0;0.015676567656765675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NK4A214_group;0.0;0.0;0.0;0.005017629509085977;0.0;0.0;0.0;0.0019359712909623196;0.0;0.0;0.0;0.0;0.0020502924681903155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UC5-1-2E3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0074276186145217525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tuzzerella;0.0;0.006681812107443537;0.006894649751792609;0.0;0.0;0.0;0.004824561403508772;0.0;0.0062810312855177365;0.0;0.0;0.004926481734121571;0.0;0.01154655594107275;0.009822389666307859;0.006539426659569615;0.005481909697996611;0.0;0.0;0.0;0.0
Eubacterium_brachy_group;0.0;0.0;0.0031439602868174295;0.0;0.0;0.0;0.002456140350877193;0.0;0.0;0.0;0.0;0.0;0.0021105951878429715;0.0;0.0;0.0;0.0;0.0;0.002052430264017166;0.0;0.0
Prevotella;0.0;0.0;0.0;0.001582135430792876;0.0;0.0;0.0;0.0;0.003290064006699767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Family_XIII_AD3011_group;0.0;0.0;0.0;0.002124581864207576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UCG-005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002784653465346535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Christensenellaceae_R-7_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012884644535394877;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Streptococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009885179834233139;0.0;0.0;0.0;0.0;0.0
Staphylococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tepidibacter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00264425347058268;0.0;0.0024584521585209952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RF39;0.010815426213177744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012095584619923294;0.0;0.0;0.011759030332267986;0.02314999146806211;0.0;0.006159227435176032;0.006279278381341573;0.0;0.0;0.0;0.0
Shuttleworthia;0.0;0.02385406922357343;0.0;0.004836814031281078;0.0;0.0;0.0;0.0033053168382283504;0.021475145061913028;0.0;0.0;0.0;0.004824217572212507;0.0;0.014464477933261574;0.008060223557143944;0.0;0.03110786224821313;0.0;0.0;0.0
Roseburia;0.0;0.008753173860751036;0.00441257584114727;0.0;0.0;0.0;0.0;0.0;0.0060417539032123;0.0;0.0;0.03547066848567531;0.0;0.004834764802912235;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tyzzerella;0.0;0.001403180542563143;0.0;0.0;0.0;0.008402222523377152;0.017324561403508774;0.011899140617622062;0.009092540527606628;0.0076703707345855045;0.0;0.0;0.0;0.0;0.006929494079655544;0.0;0.003986843416724809;0.0037361923326835614;0.0;0.004848213619750876;0.0
Blautia;0.0;0.0;0.0;0.0;0.009060100975171174;0.0;0.0;0.0;0.0;0.0;0.0;0.02766408973775959;0.011638424892962672;0.010238325464990613;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lachnospira;0.0;0.0;0.0;0.0;0.0;0.0;0.0026754385964912284;0.0;0.021295687025183946;0.0;0.002372112211221122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Erysipelatoclostridium;0.020848157108296572;0.0;0.0039713182570325425;0.013696772443721182;0.012379832630195728;0.0;0.0;0.005524601001038814;0.0;0.0;0.0;0.0;0.0;0.0018770263352482792;0.0;0.0038019922439358226;0.0;0.0;0.0;0.0;0.0
Anaerotruncus;0.011669275651060197;0.00795135640785781;0.0;0.011707802187867282;0.014731309219171452;0.0;0.0;0.007460572292001133;0.0;0.0;0.01382013201320132;0.023571320297104747;0.0;0.008076901200159263;0.004238428417653391;0.006767546194205764;0.0;0.0;0.0;0.0;0.0
GCA-900066575;0.015511598121531238;0.0;0.03303916161059018;0.0;0.018673490559513107;0.0;0.0;0.024789876286712628;0.03176407250104684;0.0;0.0;0.018417462482946796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dorea;0.0;0.0;0.0;0.0;0.0;0.014094050684374576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010218542552398001;0.0
uncultured;0.0;0.08512628624883067;0.0;0.0;0.0;0.0;0.03688596491228071;0.05009915950514685;0.0;0.0;0.038675742574257425;0.009322419281491587;0.0;0.022183038507479665;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Turicibacter;0.0;0.0;0.0;0.0;0.0;0.024935628133893484;0.0;0.025687033714231748;0.022731351319016574;0.0;0.0;0.0;0.0;0.0;0.0;0.048513421032621094;0.0;0.0;0.0;0.0380398299395838;0.0
Monoglobus;0.0016365447559413692;0.0;0.0023717595146166576;0.012114637012928305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032292787944025836;0.0;0.0;0.0;0.006343875361507604;0.0035056313865890953;0.0
Negativibacillus;0.008823110858118686;0.0;0.004302261445118588;0.0;0.0094059063559029;0.009554140127388536;0.01030701754385965;0.0;0.0062810312855177365;0.004621890058019471;0.0;0.010838259815067456;0.005608152927697039;0.014731812752403161;0.009015069967707214;0.0039540719336932555;0.0;0.0;0.0;0.0;0.0
Eubacterium_nodatum_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lachnospiraceae_UCG-004;0.0;0.0;0.011307225592939877;0.0;0.0;0.0;0.0;0.005524601001038814;0.012801339953340913;0.0;0.0;0.0;0.012542965687752516;0.006939309481826973;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Akkermansia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
