Group;Control;Control;Control;Control;Control;Chronic;Chronic;Chronic;Chronic;Chronic;Binge;Binge;Binge;Binge;Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;;Median
Eubacterium_coprostanoligenes_group;0.005883836261242329;0.0023802067021609775;0.017312361448326825;0.002103112606657854;0.006842753524018066;0.011601250434178534;0.015998942218696285;0.013424735789774352;0.00935583791642961;0.020587063355027226;0.0055700187685415025;0.0178851360980476;0.011031696706028589;0.014670673934083849;0.005155581556912501;0.009153458655854527;0.003760667277373318;0.008962635499303581;0.003582561764295352;0.004052836985890123;;0.0059421320295410295
Enterorhabdus;0.00848953517693536;0.004509865330410272;0.007706112108096696;0.007451027520730682;0.005747912960175176;0.0;0.0;0.021612872512615445;0.013085530058790063;0.02988444680568468;0.012108736453351091;0.02016531281174291;0.009788688626476071;0.0;0.0;0.003071630421427693;0.0034713851791138323;0.0036335008780960464;0.00497836504908575;0.003302311618132693;;0.005182870961205508
Anaeroplasma;0.002437589308228965;0.003570310053241466;0.01689010873007495;0.01766614589592597;0.01430135486519776;0.030705105939562348;0.0;0.0;0.011884442758707883;0.0;0.006478174002542834;0.004417842382784666;0.007095504454112285;0.0018847740818093834;0.009653003766134044;0.0017815456444280624;0.0019767610047731546;0.008054260279779568;0.0;0.0028895226658661064;;0.004253118021503973
Lachnospiraceae_FCS020_group;0.0;0.010648293141246476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00018163104680026638;0.01653128117429101;0.012948000828672054;0.03983495491824156;0.009543310541518885;0.026968915100135146;0.0;0.005571368013080604;0.0;0.0;;0.0026273676216060082
Candidatus_Arthromitus;0.008153315962007227;0.0023175696836830566;0.004011400823392801;0.0;0.002805528944847407;0.0;0.0;0.0;0.0;0.0;0.012956348005085667;0.0;0.004195152268489745;0.011665223371198614;0.0;0.0;0.0;0.0010294919154605463;0.0;0.0;;0.0021075380001669497
Colidextribacter;0.0;0.0006890072032571249;0.0;0.01021511837519529;0.0;0.0;0.0;0.01113967437874893;0.0;0.0;0.01186656172428407;0.0;5,18E+11;0.0;0.00010969322461515957;0.0;0.006653488259968179;0.0006661418276509418;0.0;0.0;;0.0
Marvinbryantia;0.0;0.0;0.0;0.006249248888354766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Acetatifactor;0.0;0.0;0.0;0.0;0.01231695634323252;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0059666766736715705;;0.0
uncultured;0.0;0.0;0.0;0.0;0.003626659367729575;0.0;0.0;0.0;0.0;0.0;0.0;0.01268348296993017;0.006888336440853532;0.0;0.0035467475958901595;0.0;0.0;0.0;0.0;0.0;;0.0
Intestinimonas;0.0;0.006075790792358283;0.0;0.0;0.005063637607773369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009063600580070436;0.0;0.005411532414347873;0.006573289101855263;0.0;0.0;0.0;0.0;;0.0
Lachnospiraceae_NK4B4_group;0.0;0.005198872533667398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Eubacterium_xylanophilum_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
NK4A214_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0027077098475131824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
UC5-1-2E3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00012108736453351091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Tuzzerella;0.0;0.0;0.0;0.0;0.0038319419734501167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007691915847384241;0.0;0.0;0.004242804107805795;0.006419184884636349;0.0;0.0;;0.0
Eubacterium_brachy_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004056426711872616;0.0;0.0025896001657344106;0.003107330242983037;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Prevotella;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Family_XIII_AD3011_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
UCG-005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Christensenellaceae_R-7_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Streptococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Staphylococcus;0.0;0.012214218603194488;0.0;0.010575651964908065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Tepidibacter;0.0;0.001816473535859693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002693184172363787;0.0;0.002011042451277926;0.0;0.0;0.012414461333494825;0.0;0.0;;0.0
RF39;0.0;0.0;0.0;0.006129071025117175;0.002189681127685781;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00526527478152766;0.0;0.0;0.0;0.0;0.003827679375562894;;0.0
Shuttleworthia;0.0;0.0;0.0;0.0;0.009785137539345835;0.0;0.0;0.01104446348662287;0.03995195650799672;0.0;0.03705273354725434;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Roseburia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017331529489195214;0.0;0.0;0.0;0.0;0.0;;0.0
Tyzzerella;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0022801767136953117;0.0;0.0033620294432275483;0.0019744780430728725;0.0014743826022852928;0.0;0.005086901229334464;0.0;0.0;;0.0
Blautia;0.0;0.015972439711869714;0.0;0.0;0.021486246065416728;0.0;0.0;0.0;0.0;0.0;0.037900345098988916;0.0;0.023513569504868447;0.0;0.01122527331895133;0.0;0.0;0.0;0.0;0.0;;0.0
Lachnospira;0.0;0.0;0.0;0.0012618675639947123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Erysipelatoclostridium;0.010927124485164325;0.0;0.0073894225694077905;0.0;0.0;0.0;0.0066772444797038215;0.0;0.008091535495290474;0.0;0.0;0.016032492518170162;0.009063600580070436;0.0;0.0;0.0;0.006653488259968179;0.02028704656936959;0.010654631740566696;0.0070924647253077155;;0.0
Anaerotruncus;0.0;0.0;0.011611949751926528;0.0;0.009511427398385112;0.0;0.0;0.0;0.0;0.0;0.0;0.014393615505201655;0.007613424487259167;0.0;0.00698380196716516;0.0;0.0;0.0;0.0;0.0;;0.0
GCA-900066575;0.008237370765739261;0.0;0.02037369365565291;0.0;0.03318735459148762;0.0;0.0;0.0;0.0;0.0;0.0;0.0606384494798347;0.0;0.0;0.0;0.0;0.03466563810809507;0.0;0.04131577722979575;0.024692284599219454;;0.0
Dorea;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
uncultured;0.0;0.04553711243344817;0.009183996621978255;0.0;0.0;0.010142410559221953;0.06796244876371811;0.0;0.03350401416018712;0.0001328197635808208;0.00587273717987528;0.007838107453327635;0.0;0.0;0.0;0.006143260842855386;0.0;0.004844667837461395;0.0;0.0;;0.0
Turicibacter;0.05623266369673026;0.05969307860945819;0.0;0.008051916836918641;0.0;0.0;0.05665741108025916;0.0;0.05297427144572982;0.0;0.0;0.019880290722531;0.0;0.02419642402322857;0.030823796116859842;0.053814964983413184;0.01822477219034762;0.017380245866892755;0.0;0.030809066346442513;;0.0
Monoglobus;0.0;0.0;0.005911538055526233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032777540259370103;0.002382432152475658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Negativibacillus;0.0;0.0;0.0;0.0;0.00417407964965102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003211104205510669;0.0;0.002815459431789096;0.0;0.0;0.0;0.0;0.0;;0.0
Eubacterium_nodatum_group;0.00874169958813146;0.0;0.008550617544600443;0.0;0.00821130422882168;0.0;0.0;0.0;0.0;0.0;0.0;0.011828416702294429;0.0;0.0;0.0;0.0;0.0;0.013322836553018837;0.0066533289908342255;0.0;;0.0
Lachnospiraceae_UCG-004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
Akkermansia;0.0;0.0;0.0;0.00030044465809397913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0
